Crop_Type,Soil_Type,Region,Season,Irrigation,Fertilizer,Rainfall,Temperature,Humidity,Nitrogen,Yield
Wheat,Silty,South,Kharif,Sprinkler,Chemical,93.7,22.9,69,115,5.13
Cotton,,West,Zaid,Flood,Organic,146.9,25.6,,71,5.4
Cotton,Clay,North,Kharif,Drip,Chemical,108.7,22.1,,86,4.26
Maize,Clay,South,Kharif,Sprinkler,Chemical,72.3,26.8,69.4,44,4.35
Maize,Silty,West,Kharif,Flood,Organic,119.9,26.3,44.3,48,4.88
Sugarcane,Loamy,West,Rabi,Flood,Mixed,176.4,,83.3,72,4.7
Wheat,Clay,South,Rabi,Sprinkler,Chemical,146.1,,72.9,97,6.82
Cotton,Loamy,East,Zaid,,Organic,200.6,26.8,53.6,101,6.88
Rice,Silty,North,Rabi,Drip,Mixed,136.2,31.3,58.5,111,6.26
Wheat,Sandy,North,Rabi,Sprinkler,Organic,215.7,26.2,70.8,55,6.92
Maize,Clay,South,Kharif,,Chemical,136.2,26.9,76.2,56,5.42
Sugarcane,Clay,West,Zaid,Drip,Chemical,130.8,24.7,62.1,83,6.49
Cotton,Loamy,East,Kharif,Drip,Chemical,85.2,27,77.9,,4.7
Cotton,Silty,South,Kharif,Sprinkler,Mixed,168.9,29.8,46.5,,6.12
Cotton,Sandy,South,Kharif,Flood,Mixed,112.4,25.4,55.5,75,5.24
Cotton,Clay,North,Rabi,Drip,Chemical,107.4,29.1,43.2,111,6.17
Maize,Clay,South,Rabi,Sprinkler,Mixed,174.8,23.7,57.2,53,5.91
Wheat,Sandy,North,Rabi,Drip,Mixed,170.5,30,86.1,105,7.56
Sugarcane,Sandy,North,Zaid,Drip,Mixed,169.6,24.7,92.7,75,6.55
Maize,Clay,East,Zaid,Sprinkler,Chemical,117.3,30.4,70.8,81,4.92
Maize,Clay,North,Rabi,Drip,Organic,128.2,27.2,60.3,91,5.22
Rice,Sandy,North,Rabi,Drip,Organic,127.9,33.1,65.3,96,5.62
Wheat,Sandy,East,Rabi,Flood,Chemical,157.4,22.4,73.7,90,5.41
Sugarcane,Sandy,South,Zaid,Drip,Chemical,184.4,21.1,49.2,48,4.71
Cotton,Loamy,South,Kharif,Drip,Organic,142.9,24.5,61.1,63,3.63
Cotton,Clay,North,Zaid,Flood,Organic,199.1,21.5,85.2,107,5.72
Maize,Sandy,North,Kharif,Sprinkler,Mixed,161.4,21.5,55.5,43,6.7
Sugarcane,Silty,South,Zaid,Drip,Mixed,121.8,29.5,59,97,5.17
Maize,,East,Kharif,,Mixed,159,27,68.2,81,7.53
Maize,Clay,South,Rabi,,Organic,189.7,25.1,71.4,49,6.09
Maize,Sandy,East,Zaid,Drip,Organic,199.9,25.5,60.5,49,5.89
Rice,Loamy,East,Zaid,Sprinkler,Organic,171.5,24.6,68.9,118,5.66
Wheat,Loamy,South,Zaid,Sprinkler,Mixed,130.9,33.6,,42,4.61
Maize,Sandy,South,Zaid,Drip,Chemical,122.4,24.1,,41,6.08
Sugarcane,Silty,South,Rabi,Flood,Mixed,150.2,21.7,,41,6.16
Wheat,Silty,North,Rabi,Sprinkler,Chemical,188.6,30.2,67.5,90,6.75
Sugarcane,Sandy,East,Kharif,,Chemical,145.2,26.1,86.3,114,5.51
Sugarcane,,East,Rabi,Drip,Chemical,145.9,35.2,61.4,53,4.24
Rice,Silty,South,Kharif,Drip,Mixed,131.8,24.9,52.1,103,5.29
Cotton,Clay,South,Rabi,Flood,Chemical,118.5,30.4,71,97,6.64
Wheat,Clay,South,Kharif,,Chemical,124.3,31.3,80.9,58,6.2
Cotton,Silty,East,Kharif,Drip,Mixed,134.7,24.9,72.3,,5.01
Cotton,Sandy,West,Kharif,Flood,Chemical,,24,66.8,79,6.1
Rice,Sandy,North,Zaid,Drip,Mixed,121.6,30,50.6,46,5.89
Wheat,Clay,South,Kharif,Sprinkler,Chemical,131.8,29.3,67.3,49,4.11
Sugarcane,Silty,North,Kharif,Drip,Mixed,99.7,21.4,82.8,77,4.91
Maize,Clay,South,Rabi,Sprinkler,Chemical,155.1,22.5,53.2,105,6.66
Sugarcane,Sandy,North,Kharif,Flood,Chemical,177.8,16.9,65.1,119,6.05
Cotton,Silty,South,Rabi,Flood,Organic,186.9,29.4,63.4,,6.02
Cotton,Sandy,South,Rabi,Flood,Chemical,137.1,26,59.6,62,4.7
Cotton,Loamy,South,Kharif,Drip,Organic,150.1,26.4,71,66,6.69
Wheat,Clay,South,Rabi,Flood,Chemical,124.6,20.2,73.3,89,6.98
Rice,Clay,West,Kharif,Sprinkler,Mixed,148.5,22.6,73.2,53,5.25
Maize,Silty,West,Rabi,Sprinkler,Chemical,141,,56.3,,5.46
Maize,Sandy,North,Zaid,Flood,Chemical,132,24.3,48.2,101,5.44
Wheat,Clay,South,Zaid,Sprinkler,Organic,134.8,27.5,71.1,107,6.15
Maize,Sandy,West,Rabi,Sprinkler,Mixed,145.8,,61.9,44,4.56
Wheat,Sandy,East,Kharif,Sprinkler,Chemical,119.7,36.1,90.1,63,4.7
Cotton,Clay,North,Kharif,Sprinkler,Chemical,121.5,26.9,90.6,60,5.35
Cotton,Clay,East,Kharif,Flood,Organic,189.8,31.5,91.9,84,6.07
Sugarcane,Silty,North,Kharif,Sprinkler,Organic,224.9,23.7,56.7,54,6.2
Cotton,Sandy,North,Zaid,Sprinkler,Organic,87.8,20.3,74.8,116,5.29
Rice,Loamy,East,Kharif,Drip,Mixed,85.9,,78.5,113,5.25
Sugarcane,Sandy,East,Rabi,Sprinkler,Mixed,96.5,20.6,77.1,66,4.22
Maize,Sandy,West,Kharif,Flood,Organic,126.4,27.1,63.7,72,5.94
Rice,Sandy,South,Rabi,Sprinkler,Organic,161.4,23.9,83.3,75,4.41
Sugarcane,,West,Kharif,Drip,Mixed,,19.2,68,43,6.15
Rice,Silty,South,Rabi,Sprinkler,Chemical,136,,69.5,111,6.16
Wheat,Clay,East,Rabi,Flood,Organic,148.5,,49.5,102,6.69
Maize,Clay,North,Zaid,Drip,Chemical,105.8,20.4,75.7,66,5.29
Cotton,Loamy,North,Rabi,Drip,Organic,121.5,30.6,,83,4.81
Wheat,Sandy,West,Zaid,Sprinkler,Organic,129.3,24.1,73.6,70,4.52
Maize,Clay,West,Zaid,,Chemical,74.6,31.4,70.8,58,3.32
Wheat,Clay,West,Kharif,Drip,Mixed,89.4,24.1,70.2,64,4.34
Cotton,Sandy,South,Zaid,Flood,Mixed,90.7,24.8,67.5,48,4.81
Maize,,North,Rabi,Flood,Organic,156.7,,77.4,104,5.92
Rice,Clay,West,Rabi,Sprinkler,Chemical,138.6,29.4,65.6,92,6.33
Rice,Clay,East,Rabi,Sprinkler,Mixed,151.4,30.1,50.5,114,4.56
Maize,Clay,North,Kharif,Drip,Mixed,65.6,26.6,74.8,40,3.46
Cotton,Loamy,West,Kharif,Flood,Mixed,78.1,29.1,,,5.84
Sugarcane,Silty,West,Zaid,Flood,Organic,153.2,30,52.1,84,5.75
Maize,Loamy,South,Kharif,Sprinkler,Organic,32.7,27.8,55.7,89,3.58
Wheat,Clay,West,Rabi,Sprinkler,Organic,172.9,26.4,71.4,,6.43
Sugarcane,Sandy,West,Zaid,Flood,Organic,,21.2,66.8,71,1.82
Cotton,Loamy,East,Zaid,Flood,Organic,159.5,29.4,,51,4.53
Cotton,Sandy,East,Zaid,Drip,Organic,98.9,27.2,63.4,40,5.12
Wheat,Sandy,South,Kharif,Flood,Chemical,166.7,25.3,82,79,5.56
Rice,Sandy,West,Kharif,Flood,Chemical,242.3,32.1,62.6,53,6.17
Cotton,Clay,West,Kharif,Flood,Chemical,50.4,21.3,66,51,1.74
Sugarcane,Loamy,West,Zaid,Sprinkler,Organic,154.3,,80.5,51,3.83
Maize,Silty,East,Rabi,Sprinkler,Organic,66.7,26.9,77.5,62,5.19
Sugarcane,Clay,North,Zaid,Drip,Mixed,144.9,28.3,80.3,49,5.61
Sugarcane,Silty,South,Rabi,Sprinkler,Chemical,122.8,25.4,34.7,78,4.32
Rice,Loamy,South,Kharif,Drip,Organic,134.5,20.3,88.8,92,5.15
Sugarcane,Loamy,West,Rabi,Sprinkler,Mixed,98.1,26.4,75.6,63,4.69
Rice,Silty,East,Kharif,Drip,Mixed,157.3,28.3,97.5,50,4.36
Rice,Silty,East,Zaid,Sprinkler,Mixed,79.3,29.7,58.6,85,3.21
Cotton,Silty,North,Zaid,Sprinkler,Organic,173.5,26.2,46.8,46,5.37
Cotton,Silty,West,Zaid,,Chemical,115.7,18.2,68.1,99,5.91
Wheat,Loamy,South,Rabi,Flood,Mixed,80.9,20.8,64.7,70,4.9
Sugarcane,Silty,North,Rabi,Sprinkler,Mixed,185.8,35.2,75.8,72,6.68
Wheat,Sandy,West,Zaid,Flood,Organic,127.6,22.6,80.9,59,3.72
Sugarcane,Loamy,North,Kharif,Drip,Mixed,,32.7,67,62,6.07
Wheat,Loamy,North,Rabi,Flood,Chemical,,23.3,65.1,,5.28
Cotton,Silty,North,Zaid,Drip,Chemical,102.1,26.3,74.3,84,5.12
Cotton,Clay,South,Kharif,Sprinkler,Chemical,127,29.5,64.9,,4.68
Cotton,Silty,North,Rabi,,Mixed,134.2,23.7,63.9,94,5.27
Cotton,Loamy,West,Zaid,Sprinkler,Organic,183.4,,80.4,60,3.34
Maize,Clay,East,Kharif,Sprinkler,Chemical,145.3,27.3,83.1,85,6.8
Cotton,Clay,South,Kharif,Flood,Mixed,136.2,28.8,81,82,5.89
Rice,Clay,North,Zaid,,Chemical,123,25.9,66,90,4.42
Cotton,Sandy,South,Kharif,Flood,Organic,,29.6,42.3,,6.22
Maize,Silty,North,Kharif,Drip,Organic,175.7,33.3,66.2,84,5.77
Maize,Silty,West,Kharif,,Chemical,130.1,26.5,58.9,108,5.76
Maize,Sandy,South,Rabi,Drip,Mixed,116.2,33.9,66.4,60,4.12
Maize,,South,Rabi,Flood,Chemical,110.2,24.6,59.9,100,6.01
Wheat,Silty,North,Zaid,Drip,Mixed,110.6,30.1,67.8,67,4.27
Wheat,Sandy,North,Rabi,Sprinkler,Chemical,,29,55.5,90,4.08
Rice,Sandy,North,Kharif,Sprinkler,Chemical,103.7,22.7,52.6,79,5.91
Wheat,,North,Rabi,Flood,Organic,182.4,27.9,82.7,112,6.81
Maize,Silty,East,Rabi,Sprinkler,Chemical,122.8,27,56.4,61,4.94
Cotton,Silty,West,Kharif,Flood,Organic,154.7,23.6,68,81,6.39
Cotton,Sandy,West,Zaid,Flood,Mixed,43.2,28.4,79.5,53,3.13
Maize,Sandy,South,Kharif,Flood,Organic,149.9,,79,90,5.66
Sugarcane,Sandy,West,Rabi,Flood,Mixed,124.4,26.7,77.5,42,4.94
Maize,Clay,East,Rabi,Drip,Organic,113.1,26.7,71.6,72,3.89
Wheat,Clay,North,Rabi,Sprinkler,Chemical,136.3,26.6,76.7,40,5.01
Cotton,Sandy,North,Zaid,Sprinkler,Organic,112.6,25.5,84.5,66,4.36
Maize,Loamy,East,Rabi,,Organic,55.7,27.6,,78,5.06
Cotton,Clay,South,Kharif,Drip,Mixed,162.3,24.4,46,66,6.11
Maize,Sandy,North,Rabi,Drip,Organic,138.5,37.6,61.7,70,5.49
Maize,Silty,West,Kharif,Flood,Chemical,119,21.4,76.4,51,3.35
Wheat,Sandy,East,Zaid,Sprinkler,Mixed,96.2,24.7,60.5,97,5.23
Maize,Clay,East,Kharif,Drip,Chemical,78.6,25,87.4,103,4.24
Cotton,Clay,West,Kharif,Flood,Organic,137.8,35.2,67.2,76,5.31
Rice,Sandy,West,Rabi,Flood,Chemical,186.5,21.7,69,44,3.67
Cotton,Sandy,West,Rabi,Flood,Chemical,137.1,28.7,81.5,44,3.65
Wheat,Loamy,South,Zaid,Flood,Organic,81.6,28,65.8,93,6.01
Rice,Sandy,West,Rabi,Flood,Organic,137.9,28.3,,,6.6
Maize,Clay,East,Kharif,,Chemical,128.1,31.9,78.8,109,5.67
Sugarcane,,East,Rabi,Flood,Chemical,160.2,31.9,50.3,72,4.97
Rice,Silty,West,Rabi,Sprinkler,Organic,151.2,25.2,64.6,79,4.93
Rice,Silty,North,Kharif,Sprinkler,Chemical,25.5,27.8,77.9,53,3.58
Maize,Sandy,South,Zaid,Sprinkler,Chemical,149.1,19.5,68.8,45,4.64
Sugarcane,Clay,North,Rabi,Sprinkler,Organic,94.9,27.4,85.6,101,6.67
Sugarcane,Clay,South,Zaid,Sprinkler,Chemical,80.2,23.8,49.1,74,4.44
Wheat,Loamy,South,Kharif,Flood,Mixed,123.4,,47.7,79,5.46
Rice,Silty,West,Zaid,Drip,Chemical,144.4,20.3,77.2,67,4.19
Sugarcane,Silty,West,Rabi,Drip,Chemical,72.6,28.6,78.4,65,4.05
Wheat,Silty,South,Zaid,Drip,Mixed,,20.2,65.7,118,6.62
Sugarcane,Clay,South,Rabi,Flood,Chemical,156.7,27.6,72.8,105,6.13
Rice,Clay,East,Zaid,Sprinkler,Organic,131.6,22.1,76.9,95,5.34
Sugarcane,Silty,West,Kharif,Sprinkler,Chemical,99.6,23.6,58.2,71,5.07
Rice,Sandy,West,Kharif,Sprinkler,Chemical,95.7,31.6,59.5,97,6.45
Maize,Sandy,North,Rabi,Sprinkler,Chemical,165.9,29.4,,67,5.87
Cotton,Clay,North,Kharif,Sprinkler,Organic,77.1,31.6,78.8,81,5.55
Wheat,Clay,East,Rabi,Drip,Organic,167.3,33.2,54,51,5.84
Maize,Sandy,South,Kharif,Drip,Chemical,124.2,23.9,65.6,96,6.56
Maize,Silty,North,Zaid,Flood,Mixed,126.6,33,65.1,44,4.11
Cotton,Clay,North,Rabi,Sprinkler,Mixed,70.2,21.1,73,97,4.65
Sugarcane,Silty,South,Rabi,Drip,Mixed,124.9,30,67.9,88,5.38
Cotton,Loamy,South,Rabi,Sprinkler,Organic,151.5,25,61.4,45,5.55
Maize,Clay,East,Rabi,Sprinkler,Chemical,83.2,23.3,,80,5.37
Maize,Silty,North,Rabi,Drip,Chemical,147.5,29.5,61.5,,5.38
Maize,Silty,East,Rabi,Drip,Chemical,133.1,,64.5,78,6.14
Sugarcane,Silty,East,Kharif,Flood,Chemical,107.5,30.7,48.9,41,3.87
Rice,Clay,South,Rabi,Drip,Chemical,159.9,27.9,59.4,97,7.02
Wheat,Silty,North,Zaid,Drip,Organic,52.9,27.5,74.2,80,5.19
Rice,Silty,East,Zaid,Sprinkler,Mixed,142.1,29.1,71.8,68,5.97
Wheat,Silty,East,Zaid,,Mixed,186.7,28.2,75.2,110,7.07
Wheat,Loamy,South,Kharif,Flood,Organic,180.4,29.2,74.6,91,7.03
Wheat,Sandy,South,Rabi,Flood,Chemical,143.6,27.8,93.1,88,5.17
Cotton,Silty,East,Zaid,Drip,Chemical,119.4,30.4,59,51,4.87
Cotton,Silty,South,Rabi,Sprinkler,Mixed,107.7,20.5,48.6,80,5.26
Cotton,Loamy,South,Kharif,,Mixed,119.4,26.5,55.4,96,4.63
Maize,Silty,South,Kharif,Sprinkler,Chemical,149,21.5,59.6,114,6.73
Cotton,,South,Zaid,Drip,Mixed,101.7,28.1,56.3,,4.25
Wheat,Clay,East,Kharif,Drip,Mixed,156.5,33.6,69.1,53,4.87
Sugarcane,Sandy,South,Zaid,Flood,Mixed,204.7,25.1,83,,6.93
Maize,Clay,South,Zaid,Drip,Organic,127.8,27.5,86.5,45,4.22
Sugarcane,Sandy,East,Kharif,Sprinkler,Mixed,82.9,30,74.1,65,4.52
Wheat,Loamy,South,Zaid,Drip,Chemical,82.9,18.7,93.7,113,5.31
Maize,Sandy,North,Rabi,Flood,Organic,157.2,24.9,63.7,104,5.72
Cotton,Sandy,West,Zaid,Flood,Mixed,127.9,28.5,48.4,112,6.57
Maize,Sandy,North,Rabi,,Mixed,160.7,15.4,80.6,68,4.81
Maize,Clay,East,Zaid,Flood,Chemical,111.3,23.1,45.9,94,7.26
Wheat,Clay,South,Kharif,,Chemical,159.1,31.4,58.9,96,6.09
Rice,Clay,North,Zaid,Drip,Chemical,124.5,31,74.2,59,3.99
Rice,Clay,North,Rabi,Drip,Organic,,28.5,66.8,115,5.03
Rice,Sandy,West,Kharif,Drip,Mixed,,30.5,65.7,117,6.89
Cotton,Clay,South,Zaid,,Organic,88.1,27.9,53.8,48,3.93
Cotton,Clay,South,Rabi,Drip,Chemical,199.6,29.2,67.9,101,5.86
Cotton,Clay,East,Rabi,Drip,Organic,126.6,25.7,80,75,6.04
Rice,Loamy,North,Rabi,Sprinkler,Mixed,152.6,,,93,5.8
Sugarcane,Sandy,East,Rabi,Drip,Mixed,111.2,24.5,,84,5.8
Wheat,Silty,South,Kharif,Sprinkler,Chemical,93.2,32.1,53,57,5.13
Rice,Clay,East,Kharif,Sprinkler,Chemical,121.8,33.1,58.3,47,4.8
Wheat,Silty,North,Rabi,Flood,Mixed,,32.5,72.7,81,7.9
Rice,Sandy,West,Rabi,Sprinkler,Mixed,111.8,25.4,72.1,106,4.37
Sugarcane,Loamy,North,Rabi,Flood,Mixed,99.5,23.2,58.4,105,4.82
Rice,Clay,East,Zaid,Sprinkler,Organic,135.4,32.1,41.5,61,4.89
Sugarcane,Loamy,East,Zaid,Drip,Chemical,147.5,29.2,73,108,8.12
Maize,Loamy,South,Rabi,Sprinkler,Mixed,187.5,28.3,57.2,68,7.57
Cotton,Clay,North,Rabi,Sprinkler,Organic,142.4,24.5,76.3,84,6.77
Maize,Clay,South,Rabi,Sprinkler,Mixed,152.5,28.7,58.9,65,4.9
Rice,Silty,West,Zaid,Sprinkler,Organic,155.2,22.7,56.1,81,5.28
Cotton,Loamy,West,Zaid,Sprinkler,Mixed,89.6,29.5,69.8,82,4.25
Sugarcane,Silty,West,Zaid,Drip,Chemical,96.3,,96.3,95,4.55
Rice,Loamy,North,Rabi,Drip,Mixed,92.1,33.5,77,77,5.92
Cotton,Loamy,East,Kharif,Flood,Mixed,83.4,29.8,,82,4.61
Rice,Sandy,North,Rabi,Flood,Organic,157.8,21.5,72.3,92,5.95
Cotton,Silty,East,Zaid,,Chemical,140.2,27.8,47,73,6.16
Cotton,Sandy,South,Kharif,Flood,Mixed,132.8,35.6,,81,4.02
Maize,Loamy,East,Rabi,Flood,Organic,39.3,23.5,37.9,,3.45
Cotton,Loamy,East,Zaid,Drip,Mixed,201.9,26.8,88.8,109,6.33
Rice,Clay,West,Kharif,Flood,Organic,,32.7,86.3,50,4.07
Wheat,Clay,South,Kharif,,Chemical,201.8,29.5,72.7,109,6.66
Wheat,Silty,South,Rabi,Flood,Chemical,,36.9,69.6,100,4.38
Maize,Clay,East,Rabi,Sprinkler,Mixed,101.6,24.1,49.4,115,5.92
Sugarcane,Loamy,North,Zaid,Sprinkler,Mixed,52.9,23,65.4,41,3.67
Wheat,Silty,North,Rabi,Drip,Chemical,142.7,31.9,89.5,57,4.96
Maize,Loamy,East,Rabi,Drip,Organic,91.5,22.2,69.6,,4.41
Cotton,Loamy,West,Zaid,Sprinkler,Chemical,92.4,26.2,,73,4.13
Rice,Clay,East,Rabi,,Chemical,82,26.7,46.9,112,6.01
Cotton,Clay,West,Kharif,Flood,Mixed,157.2,31.1,84.6,101,6.09
Rice,Sandy,North,Zaid,Flood,Mixed,154.9,29.5,67.2,96,5.78
Sugarcane,Silty,South,Kharif,Sprinkler,Chemical,193.4,28.8,46.9,107,6.35
Maize,Silty,East,Kharif,Sprinkler,Mixed,106,25.4,56.9,40,4.15
Maize,Clay,South,Rabi,Sprinkler,Organic,137.7,31.9,52.7,103,7.48
Wheat,Silty,North,Kharif,Flood,Organic,84.9,43.1,66.4,,4.02
Maize,Sandy,North,Kharif,Drip,Organic,118.3,29.8,70.5,95,4.67
Sugarcane,Loamy,West,Kharif,Drip,Mixed,111.8,27.4,62,101,6.42
Wheat,Silty,East,Rabi,Flood,Organic,,21.8,77.3,94,5.54
Cotton,Loamy,South,Rabi,Sprinkler,Chemical,165.6,24.5,68.9,73,6.1
Maize,Sandy,South,Zaid,Sprinkler,Mixed,164.7,26.1,80.7,88,5.72
Cotton,Silty,North,Zaid,Flood,Mixed,100.5,24.9,63.7,77,6.01
Cotton,,West,Zaid,Flood,Mixed,164.9,26.9,104.5,90,5.8
Maize,Clay,North,Rabi,Drip,Organic,128.5,34.1,61.2,76,6.35
Rice,Clay,West,Zaid,Sprinkler,Chemical,118.6,32,57.2,71,4.21
Cotton,Silty,North,Rabi,Sprinkler,Chemical,105.2,26.4,,,4.45
Wheat,Loamy,South,Kharif,Flood,Mixed,110.4,22.2,65.5,70,6.03
Maize,Sandy,South,Rabi,Flood,Chemical,191,32.3,47.4,,6.78
Wheat,Clay,West,Zaid,Sprinkler,Chemical,140.8,26.8,71.5,109,8.1
Cotton,Loamy,North,Rabi,Flood,Organic,136.1,20.1,45.1,48,4.58
Cotton,Sandy,South,Zaid,Sprinkler,Organic,120.8,29.8,69.9,54,5.01
Wheat,Silty,South,Rabi,Flood,Chemical,215.6,31.1,51.8,80,8.24
Cotton,Sandy,South,Zaid,Sprinkler,Organic,,17.3,63.4,96,5.05
Maize,Loamy,North,Kharif,Sprinkler,Chemical,104.8,23.7,75.3,53,3.22
Cotton,Loamy,West,Rabi,Sprinkler,Mixed,120.4,26.6,95.6,65,4.46
Wheat,Clay,South,Rabi,Flood,Chemical,122.5,29.9,55.1,43,5.26
Wheat,Sandy,South,Zaid,Sprinkler,Chemical,135.1,24.9,66.2,44,3.56
Maize,Sandy,South,Rabi,Drip,Organic,105.5,23.7,59.3,51,4.98
Wheat,Loamy,West,Rabi,Drip,Chemical,145.4,29.9,57.6,98,6.48
Rice,,South,Kharif,Sprinkler,Chemical,180.8,25.1,59.4,109,8.45
Cotton,Clay,South,Rabi,Flood,Organic,,29.2,77.9,,5.61
Wheat,Sandy,South,Rabi,Sprinkler,Organic,90.5,22.6,62.1,54,4.6
Cotton,Silty,South,Kharif,Sprinkler,Mixed,113.1,21.6,95,113,6.88
Wheat,Sandy,North,Zaid,Flood,Mixed,114.7,30,73,62,5.3
Wheat,Loamy,East,Zaid,Sprinkler,Chemical,199.9,28,55.9,52,5.64
Maize,Silty,North,Zaid,Flood,Mixed,165.1,30.7,,51,4.47
Cotton,Loamy,North,Rabi,Sprinkler,Organic,163.1,24.9,58.4,68,5.29
Wheat,Silty,North,Kharif,Flood,Organic,120.7,23.8,77.6,98,5.64
Rice,Loamy,South,Rabi,Flood,Mixed,120,32.4,48.3,71,5.2
Sugarcane,Sandy,West,Zaid,Sprinkler,Organic,79.2,20.9,51.9,75,2.8
Sugarcane,Loamy,East,Kharif,Drip,Chemical,157.4,,60.9,67,5.38
Maize,Loamy,West,Rabi,Sprinkler,Organic,147.2,32.3,76.2,,6.37
Maize,Sandy,South,Zaid,Drip,Organic,175,30.4,82.8,94,6.84
Rice,Sandy,West,Rabi,Sprinkler,Chemical,122.6,24.2,84.6,93,6.92
Cotton,Loamy,North,Rabi,Drip,Chemical,125,23.7,74.4,75,5.42
Maize,Silty,East,Zaid,Sprinkler,Mixed,,26.2,67,82,4.93
Rice,Clay,West,Kharif,Sprinkler,Mixed,161.2,21.8,77.5,110,5.01
Wheat,Clay,East,Zaid,Drip,Chemical,,23.2,54.3,92,5.45
Wheat,Clay,West,Kharif,Drip,Chemical,155.8,29.6,45.9,105,5.66
Sugarcane,Clay,South,Zaid,Sprinkler,Organic,129.3,29.6,73.2,43,5.41
Maize,Loamy,North,Kharif,Drip,Organic,92.9,22.8,55.9,108,6.55
Maize,Clay,West,Rabi,Flood,Organic,57,29.7,67.2,116,3.86
Maize,Loamy,North,Rabi,Flood,Mixed,125.2,28.8,69.4,93,6.13
Cotton,Loamy,West,Zaid,Flood,Organic,180.7,33,71,116,7.88
Wheat,Clay,East,Rabi,Drip,Chemical,188.6,29.3,79.3,85,7.28
Wheat,Sandy,West,Kharif,Flood,Mixed,142.4,31.2,78,62,3.57
Rice,Silty,South,Rabi,Sprinkler,Mixed,198.7,28.9,70.3,88,6
Maize,Clay,West,Rabi,Sprinkler,Chemical,128.5,30.9,62.7,90,4.59
